LOCATION,ACCOMODATION TYPE,FLOOR,ROOM SIZE,BUILDING AGE,DISTANCE FROM SCHOOL,DISTANCE FROM MARKET,TRANSPORT ACCESSIBILITY,WATER SOURCE,LOCATION OF WATER SOURCE,ELECTRICITY RELIABILITY,TOILET TYPE,TOILET LOCATION,GATE?,SECURITY GUARD?,FENCE?,SECURITY?,ENVIRONMENTAL CLEANING,VIBEZ OF ENVIRONMENT,YEARLY RENT,RULES AND REGULATION
Odenigwe,Self-con,Ground floor,Medium,>20 years,5-15 min,5-15 min,Not very accessible,Private tap/tank in compound,Within compound,Very reliable,Semi-Water Closet,Shared,No,No,No,Average,Tenants,Quiet,60000,Not Strict
Odenigwe,Self-con,First Floor,Large,<5 years,5-15 min,15-30 min,Moderately accessibile,In the unit,Within compound,Very reliable,Water Closet,En-suite,Yes,Yes,Yes,Very Secure,Caretaker/Cleaner,Neutral,280000,Moderately Strict
Hilltop,Self-con,Third Floor,Medium,10-20 years,<5 min,15-30 min,Very accessible,Borehole outside compound,5-15 min,Very reliable,Water Closet,En-suite,Yes,No,Yes,Very Secure,Caretaker/Cleaner,Very Vibrant,200000,Moderately Strict
Odim,Self-con,Ground floor,Medium,<5 years,15-30 min,15-30 min,Moderately accessibile,In the unit,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Secure,Caretaker/Cleaner,Quiet,200000,Moderately Strict
Hilltop,Self-con,Ground floor,Medium,<5 years,5-15 min,15-30 min,Moderately accessibile,In the unit,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Secure,Caretaker/Cleaner,Vibrant,250000,Moderately Strict
Odenigwe,Self-con,Ground floor,Medium,10-20 years,5-15 min,15-30 min,Very accessible,Private tap/tank in compound,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Average,Caretaker/Cleaner,Neutral,220000,Strict
Odenigwe,Single room,Ground floor,Small,>20 years,5-15 min,>30 min,Moderately accessibile,Well outside building,Within compound,Very reliable,Water Closet,En-suite,Yes,Yes,Yes,Very Secure,Caretaker/Cleaner,Very Quiet,100000,Very Strict
Onuiyi,Self-con,First Floor,Medium,<5 years,5-15 min,>30 min,Very accessible,Private tap/tank in compound,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Very Secure,Caretaker/Cleaner,Neutral,180000,Not Strict
Onuiyi,Self-con,Ground floor,Small,<5 years,5-15 min,>30 min,Very accessible,In the unit,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Average,Caretaker/Cleaner,Vibrant,180000,No rules
Odenigwe,Self-con,Ground floor,Medium,<5 years,15-30 min,5-15 min,Moderately accessibile,In the unit,Within compound,Very reliable,Semi-Water Closet,En-suite,Yes,No,No,Average,Caretaker/Cleaner,Quiet,150000,Not Strict
Odim,Self-con,First Floor,Small,<5 years,<5 min,15-30 min,Moderately accessibile,Borehole outside compound,5-15 min,Moderately reliable,Semi-Water Closet,En-suite,Yes,No,Yes,Average,Tenants,Neutral,135000,Not Strict
Hilltop,Single room,Ground floor,Medium,10-20 years,15-30 min,15-30 min,Very accessible,Private tap/tank in compound,Within compound,Very reliable,Pit Latrine,Shared,No,No,No,Secure,No cleaning,Neutral,60000,Not Strict
Odenigwe,Self-con,Ground floor,Large,10-20 years,5-15 min,15-30 min,Not very accessible,Private tap/tank in compound,Within compound,Very reliable,Pit Latrine,En-suite,Yes,No,Yes,Secure,Caretaker/Cleaner,Neutral,170000,Moderately Strict
Odim,Self-con,First Floor,Large,10-20 years,15-30 min,5-15 min,Moderately accessibile,In the unit,Within compound,Unreliable,Water Closet,En-suite,Yes,No,Yes,Secure,Caretaker/Cleaner,Vibrant,200000,Moderately Strict
Hilltop,Self-con,Ground floor,Small,10-20 years,15-30 min,15-30 min,Not very accessible,Public tap outside compound,5-15 min,Very reliable,Water Closet,En-suite,Yes,No,Yes,Secure,Tenants,Neutral,70000,Not Strict
Hilltop,Single room,Second Floor,Medium,<5 years,15-30 min,>30 min,Very accessible,In the unit,Within compound,Very reliable,Water Closet,En-suite,Yes,No,Yes,Very Secure,Caretaker/Cleaner,Neutral,260000,Moderately Strict
Hilltop,Self-con,Ground floor,Small,<5 years,5-15 min,5-15 min,Very accessible,Private tap/tank in compound,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Average,Caretaker/Cleaner,Quiet,200000,Moderately Strict
Behind Flat,Self-con,Third Floor,Small,<5 years,5-15 min,<5 min,Moderately accessibile,Private tap/tank in compound,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Very Secure,Caretaker/Cleaner,Quiet,170000,Moderately Strict
Onuiyi,Single room,Ground floor,Small,>20 years,<5 min,5-15 min,Moderately accessibile,Public tap outside compound,Within compound,Moderately reliable,Pit Latrine,Shared,No,No,No,Insecure,Tenants,Neutral,80000,No rules
Vet Mountain,Self-con,First Floor,Medium,<5 years,5-15 min,5-15 min,Not accessible,In the unit,Within compound,Moderately reliable,Semi-Water Closet,En-suite,Yes,No,Yes,Average,Tenants,Neutral,150000,Moderately Strict
Vet Mountain,Single room,Ground floor,Small,<5 years,5-15 min,5-15 min,Moderately accessibile,Public tap outside compound,5-15 min,Unreliable,Semi-Water Closet,En-suite,No,No,No,Very Secure,Caretaker/Cleaner,Quiet,150000,No rules
Behind Flat,Self-con,Ground floor,Medium,<5 years,15-30 min,15-30 min,Moderately accessibile,Borehole outside compound,5-15 min,Very reliable,Water Closet,En-suite,Yes,No,Yes,Average,Tenants,Neutral,190000,Moderately Strict
Behind Flat,Self-con,Ground floor,Large,<5 years,15-30 min,15-30 min,Moderately accessibile,In the unit,Within compound,Very reliable,Water Closet,En-suite,Yes,No,Yes,Average,Tenants,Neutral,300000,Moderately Strict
Behind Flat,Self-con,Ground floor,Small,<5 years,15-30 min,15-30 min,Moderately accessibile,In the unit,Within compound,Very reliable,Water Closet,En-suite,Yes,No,Yes,Average,Tenants,Neutral,275000,Moderately Strict
Behind Flat,Flat,Ground floor,Very Large,<5 years,15-30 min,15-30 min,Moderately accessibile,In the unit,Within compound,Very reliable,Water Closet,En-suite,Yes,No,Yes,Average,Tenants,Neutral,700000,Moderately Strict
Behind Flat,Self-con,Ground floor,Large,<5 years,15-30 min,15-30 min,Moderately accessibile,In the unit,Within compound,Very reliable,Water Closet,En-suite,Yes,No,Yes,Average,Tenants,Neutral,310000,Moderately Strict
Behind Flat,Self-con,Ground floor,Small,<5 years,15-30 min,15-30 min,Moderately accessibile,Private tap/tank in compound,Within compound,Very reliable,Water Closet,En-suite,Yes,No,Yes,Average,Tenants,Neutral,150000,Moderately Strict
Behind Flat,Self-con,Ground floor,Medium,<5 years,15-30 min,15-30 min,Moderately accessibile,Borehole outside compound,5-15 min,Very reliable,Water Closet,En-suite,Yes,No,Yes,Average,Tenants,Neutral,210000,Moderately Strict
Behind Flat,Self-con,Ground floor,Large,<5 years,15-30 min,15-30 min,Moderately accessibile,In the unit,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Average,Tenants,Neutral,300000,Moderately Strict
Behind Flat,Self-con,Ground floor,Medium,<5 years,15-30 min,15-30 min,Moderately accessibile,In the unit,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Average,Tenants,Neutral,260000,Moderately Strict
Behind Flat,Self-con,Ground floor,Large,<5 years,15-30 min,15-30 min,Moderately accessibile,In the unit,Within compound,Very reliable,Water Closet,En-suite,Yes,No,Yes,Average,Tenants,Neutral,400000,Moderately Strict
Vet Mountain,Self-con,Ground floor,Medium,<5 years,5-15 min,5-15 min,Moderately accessibile,In the unit,Within compound,Very reliable,Water Closet,En-suite,Yes,No,Yes,Average,Tenants,Neutral,180000,Moderately Strict
Vet Mountain,Self-con,Ground floor,Medium,<5 years,<5 min,<5 min,Moderately accessibile,In the unit,Within compound,Very reliable,Water Closet,En-suite,Yes,No,Yes,Average,Tenants,Neutral,220000,Moderately Strict
Vet Mountain,Self-con,Ground floor,Small,<5 years,5-15 min,5-15 min,Moderately accessibile,Public tap outside compound,5-15 min,Very reliable,Semi-Water Closet,Shared,No,No,No,Average,Tenants,Neutral,70000,Moderately Strict
Vet Mountain,Flat,Ground floor,Large,<5 years,5-15 min,5-15 min,Moderately accessibile,Private tap/tank in compound,Within compound,Very reliable,Water Closet,En-suite,Yes,No,Yes,Average,Tenants,Neutral,620000,Moderately Strict
Vet Mountain,Self-con,Ground floor,Large,<5 years,<5 min,<5 min,Moderately accessibile,In the unit,Within compound,Very reliable,Water Closet,En-suite,Yes,No,Yes,Average,Tenants,Neutral,350000,Moderately Strict
Vet Mountain,Self-con,Ground floor,Medium,<5 years,<5 min,<5 min,Moderately accessibile,Private tap/tank in compound,Within compound,Very reliable,Water Closet,En-suite,Yes,No,Yes,Average,Tenants,Neutral,180000,Moderately Strict
Vet Mountain,Self-con,Ground floor,Large,<5 years,5-15 min,5-15 min,Moderately accessibile,In the unit,Within compound,Very reliable,Water Closet,En-suite,Yes,No,Yes,Average,Tenants,Neutral,200000,Moderately Strict
Vet Mountain,Self-con,Ground floor,Medium,<5 years,15-30 min,5-15 min,Moderately accessibile,In the unit,Within compound,Very reliable,Water Closet,En-suite,Yes,No,Yes,Average,Tenants,Neutral,180000,Moderately Strict
Onuiyi,Self-con,Ground floor,Large,<5 years,5-15 min,5-15 min,Moderately accessibile,In the unit,Within compound,Very reliable,Water Closet,En-suite,Yes,No,Yes,Average,Tenants,Neutral,320000,Moderately Strict
Onuiyi,Self-con,Ground floor,Large,<5 years,5-15 min,5-15 min,Moderately accessibile,In the unit,Within compound,Very reliable,Water Closet,En-suite,Yes,No,Yes,Average,Tenants,Neutral,340000,Moderately Strict
